City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
286,grimmen,54.1121,13.0405,16.11,67,66,3.81,DE,1715270845
287,malpura,26.2833,75.3833,37.21,13,50,3.54,IN,1715270845
288,el bauga,18.262,33.9081,36.62,9,4,2.97,SD,1715270845
289,praia da vitoria,38.7333,-27.0667,20.42,78,68,3.57,PT,1715270845
290,lompoc,34.6391,-120.4579,17.23,73,0,1.54,US,1715270845
291,mejit,10.2753,170.8646,27.16,83,99,9.11,MH,1715270846
292,broken hill,-31.95,141.4333,12.77,90,65,0.9,AU,1715270846
293,codrington,-38.2667,141.9667,11.0,83,100,2.18,AU,1715270846
294,gaiman,-43.2897,-65.4929,12.13,40,95,3.63,AR,1715270846
295,tomakivka,47.8157,34.7414,13.62,43,100,4.78,UA,1715270847
296,pijijiapan,15.7011,-93.23,33.11,41,100,2.53,MX,1715270847
297,znamenskoye,57.1281,73.8282,16.09,73,100,5.26,RU,1715270847
298,huarmey,-10.0681,-78.1522,22.13,78,22,4.07,PE,1715270847
299,gaalkacyo,6.7697,47.4308,34.62,36,100,1.22,SO,1715270778
300,tocopilla,-22.092,-70.1979,20.27,73,100,3.57,CL,1715270513
301,natal,-5.795,-35.2094,31.36,66,75,8.23,BR,1715270425
302,behshahr,36.6923,53.5526,15.09,91,97,0.79,IR,1715270848
303,swanage,50.6092,-1.9626,19.01,79,64,4.02,GB,1715270848
304,singkil,-7.9855,111.4161,24.11,94,3,1.19,ID,1715270848
305,anatuya,-28.4606,-62.8347,16.68,32,100,3.71,AR,1715270848
306,mokopane,-24.1944,29.0097,18.73,34,0,1.98,ZA,1715270848
307,castillos,-34.1667,-53.8333,14.4,57,0,3.57,UY,1715270574
308,new plymouth,-39.0667,174.0833,7.67,64,0,2.32,NZ,1715270849
309,sao jose do belmonte,-7.8614,-38.7597,30.33,53,97,4.3,BR,1715270849
310,mermoz boabab,14.7065,-17.4758,29.31,84,6,6.33,SN,1715270849
311,peace river,56.2501,-117.286,12.59,49,1,3.79,CA,1715270849
312,moose jaw,50.4001,-105.5344,15.15,55,20,7.72,CA,1715270726
313,garoowe,8.4054,48.4845,34.56,30,96,3.25,SO,1715270722
314,maibong,25.3,93.1667,19.77,96,72,0.39,IN,1715270850
315,rakops,-21.0167,24.3333,23.05,17,0,3.1,BW,1715270850
316,hadibu,12.65,54.0333,29.9,68,89,0.44,YE,1715270850
317,carutapera,-1.195,-46.02,30.67,68,55,3.23,BR,1715270850
318,minas de marcona,-15.2119,-75.1103,18.67,62,33,4.69,PE,1715270622
319,richards bay,-28.783,32.0377,23.52,74,0,5.31,ZA,1715270850
320,ingeniero jacobacci,-41.3427,-69.5448,6.91,53,62,7.49,AR,1715270851
321,pervomayskiy,53.2485,40.2871,3.75,54,84,4.55,RU,1715270851
322,puerto deseado,-47.7503,-65.8938,5.62,90,100,5.99,AR,1715270851
323,lingyuan,41.24,119.4011,15.25,47,97,2.78,CN,1715270851
324,roma,43.2128,-75.4557,16.64,64,100,3.09,US,1715270851
325,galliano,29.4422,-90.2992,31.67,74,100,4.12,US,1715270851
326,ilebo,-4.3167,20.5833,28.43,68,80,0.89,CD,1715270852
327,taoudenni,22.6783,-3.9836,43.09,4,5,2.53,ML,1715270852
328,mocoreta,-30.6189,-57.9634,13.37,61,87,3.12,AR,1715270584
329,xining,36.6167,101.7667,16.16,39,50,4.12,CN,1715270852
330,san juan colorado,16.4586,-97.9536,31.96,27,93,1.88,MX,1715270852
331,lamu,-2.2717,40.902,26.21,87,78,7.5,KE,1715270852
332,wad medani,14.4012,33.5199,37.49,6,75,3.52,SD,1715270853
333,gadzhiyevo,69.2551,33.3362,-1.25,77,95,3.97,RU,1715270853
334,dabou,5.3256,-4.3769,30.16,69,93,3.65,CI,1715270853
335,fale old settlement,-9.3852,-171.2468,28.72,75,82,2.14,TK,1715270853
336,isla vista,34.4133,-119.861,17.36,78,75,3.09,US,1715270853
337,darwin,-12.4611,130.8418,26.99,84,75,1.54,AU,1715270631
338,sitka,57.0531,-135.33,10.94,82,100,4.63,US,1715270853
339,sorong,-0.8833,131.25,26.81,88,100,4.16,ID,1715270721
340,roxas,11.5853,122.7511,27.3,82,73,4.2,PH,1715270854
341,yaguara,2.6636,-75.5175,22.81,92,100,1.66,CO,1715270854
342,valley city,46.9233,-98.0032,18.29,48,0,5.66,US,1715270854
